,Title,Maker,Identification_Numbers,Categories,Entities,Acquisition_and_Important_Dates,Description,Dating,School_or_Style,Materials_Used_in_Production,Website
380,Bust of the Medici Venus,Factory: Turner,Accession number: MAR.C.30-1912|Primary reference Number: 77362|Stable URI,Stoneware,Figure|bust,"Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Off-white stoneware with slight sheen and traces of gilding, supported on a black basalt socle Off-white stoneware with slight sheen and traces of gilding over much of the surface, supported on a black basalt socle, which is closed underneath and has a large circular ventilation hole in the middle. The name VENUS is impressed into the back and gilded. The rectangular socle is decorated on three sides and plain on the back. The lower edge is decorated in relief with Greek key pattern, with a row of beading above. The upper part of its sides are decorated with downward pointing leaves.The platform on which the bust rests has beading round the top edge, and below, upward pointing leaves, and a border of semi-circular motifs.",Late 18th or early 19th century|George III|Production date: circa AD 1800,Neoclassical,NA,https://data.fitzmuseum.cam.ac.uk/id/object/77362
381,NA,Potter: Unknown,Accession number: MAR.C.113-1912|Primary reference Number: 77359|Stable URI,Fritware (stonepaste),Dish|Islamic pottery|Iznik,"Method of acquisition: Bequeathed (1905-03-26) by Marlay, Charles Brinsley","Fritware painted in polychrome under a colourless glaze Fritware, mould made, painted in red slip, emerald green, blue and black under a colourless glaze
Shape: segmental bowl with an angled, flange rim, sits on a low, wide foot ring
Interior: on the rim a meandering scroll of blue and red tulips and rosettes is reserved in green. The cavetto is plain white except for a frieze of blue waves and red dots that encircle the roundel. In the roundel, a floral spray including saz leaves and pomegranate red and blue flower heads is outlined in black, all reserved in green. Impurities in the glaze on the roundel have resulted in lumps and scarring on the surface.
Exterior: just below the rim a black bracketed line is painted. On the body, a frieze of blue ovals and fleurs de lys are outlined in black. Glaze covers the surface except for the rim of the foot ring.",Late 16th Century|Circa 1585 CE - Circa 1590 CE,Ottoman,"colourless, covers the surface except for the rim of the foot ring Glaze|Fritware",https://data.fitzmuseum.cam.ac.uk/id/object/77359
382,NA,Potter: Unknown,Accession number: MAR.C.112-1912|Primary reference Number: 77358|Stable URI,Fritware (stonepaste),Dish|Islamic pottery|Iznik,"Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Fritware painted in polychrome under a colourless glaze Fritware, mould made, painted in blue, red and turquoise/emerald green under a pitted colourless glaze
Shape: segmental bowl with a foliated flange rim, sits on a low, wide foot ring
Interior: on the rim a blue and black rock wave pattern is interspersed with blue and green split palmette ‘S’ shaped scrolls. On the body a palmette, clasped with an agrafe, form the central point of a polychrome floral scroll further comprising two arching saz leaves framed by carnations and tulips. A small heart shaped arabesque is painted on the bud from which the palmette emerges.
Exterior: below the rim a blue bracketed line. On the body paired blue tulips alternate with rosettes in green and blue. Glaze covers the surface except for the rim of the foot ring.",Late 16th Century|Circa 1575 CE - Circa 1580 CE,Ottoman,"colourless, covers the surface except for the rim of the foot ring Glaze|Fritware",https://data.fitzmuseum.cam.ac.uk/id/object/77358
383,NA,Pottery: Unidentified Frechen pottery (Probably)|Silversmith: Unknown (Probably),Accession number: M.55-1961|Primary reference Number: 77314|Stable URI,Silver|Brown salt-glazed stoneware|German stoneware,Jug,"Method of acquisition: Bequeathed (1960-04-27) by Clarke, Louis Colville Gray",Salt-glazed stoneware with engraved silver mounts and embossed and chased silver cover,Late 16th Century|Elizabeth I|Production date: circa AD 1580,Renaissance,NA,https://data.fitzmuseum.cam.ac.uk/id/object/77314
384,NA,Maker: Unknown,Accession number: C.77-1992|Primary reference Number: 138236|Stable URI,Earthenware,Dog,"Method of acquisition: Bequeathed (1992) by Harvey-Samuel, R. E. D.","Hollow mould made earthenware dog with pricked up ears, clenched teeth, curled tail, and harness. Green lead glaze once covered the body. Fine terracotta biscuit.|It is possible to observe brilliance in the interior, where the two moulds joined.||Major crack runs full length of left hand flank. Glaze dissolves into silver iridescene. Glaze dissolves into silver iridescence in parts, and totally dissolved in others.",Han Dynasty (BC 206 - AD 220)|Circa -0206 - 220,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/138236
385,NA,Pottery: Unknown|Silversmith: Unknown,Accession number: M.5-1954|Primary reference Number: 77311|Stable URI,Lead-glazed earthenware|Silver,Drinking pot|jug,"Method of acquisition: Bought (1954-10-21) by Lumley, Thomas","Lead-glazed earthenware mounted in silver-gilt with engraved decoration Red earthenware, thrown, with treacly-brown lead-glaze, the mount on the neck, and cover of silver-gilt with engraved decoration. The pot has a bulbous body with a projecting foot, a short cylindrical neck, and an applied loop handle. Round the foot it has a toothed silver-gilt mount with a projecting flat border. The base is incised with a cross with W and N beside it",Mid 16th century|Circa 1545 CE - 1560 CE,Renaissance|Tudor,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77311
386,NA,Pottery: Unknown (Possibly),Accession number: C.5-2003|Primary reference Number: 93629|Old loan number: Loan 1978|309|1038|Stable URI,Fritware (stonepaste),Bowl|Islamic pottery|Underglaze painted ware,"Method of acquisition: Given (2003-06-09) by Harris, Ann Stempel, Kerstin Sutherland, Mary","Off-white fritware bowl, with large iron rich inclusion visible on the base, wheel thrown, painted in blue and black under a colourless glaze. Pale buff where unglazed.|Shape: hemispherical bowl on a narrow, low foot ring. Slightly convex base.|Interior: the rim is dotted with blue. On the body a whorl of stylised fish swim around a central rosette, bisected by an ‘S’ shape, both are outlined in black and partially coloured with blue.|Exterior: a stylised petal design comprises a series of vertical and horizontal lines. Glaze runs over the surface to a point on the lower body, leaving areas of underglaze paint uncovered.||Possibly made by potters working for the Mugal conquerors, perhaps at Berke Serai||Two labels. The first is small and circular, printed in red '309'. The second is of rectangular sticky paper, inscribed in blue biro 'CR', underlined, with '1038' under this.",14th Century|Circa 1300 CE - Circa 1399 CE,Il-Khanid|Mamluk,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/93629
387,NA,NA,Accession number: L.5-1977|Primary reference Number: 77167|Stable URI,NA,NA,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/77167
388,NA,Production: Unknown,Accession number: GL.C.9-1928|Primary reference Number: 77107|Duplicate: CI.C.9-1928|Stable URI,Lead-glazed earthenware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Bulbous jug with a flat base. Brown-surfaced grey earthenware with grid-stamped and applied strip decoration, partially covered with green lead glaze. The neck is short and concave. Loop handle. The lip is small, and there is a ridge below the mouth",13th Century|14th Century|Circa 1200 CE - 1400 CE,Medieval,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77107
389,NA,Production: Unknown,Accession number: GL.C.8-1928|Primary reference Number: 77106|Glaisher MS Catalogue: 3004|Stable URI,Lead-glazed earthenware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Bulbous jug with a missing base. Grey earthenware decorated with applied strips and pellets of clay in a zigzag pattern. White slip over a dark brown clay surface wash. The neck is fluted, and the handle is of hexagonal shape, with a leaf like pad applied on either side at the top.",13th Century|14th Century|Circa 1200 - 1400,Medieval,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77106
390,NA,"Production: Hoyle, John Phillips",Accession number: Gl.C.75-1928|Primary reference Number: 77105|Old object number: 2|Stable URI,Lead-glazed earthenware|Slipware,Harvest jug|jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, coated with white slip with incised and cut away decoration under pale yellow lead glaze. the jug has a bulbous body, with a short neck, pinched into a lip in front, and a loop handle rolled up into a coil at the lower end. On the front is a ship in full sail with the name and date 'Sarah Newman 1860' and a Union Jack above, and 'John Hoyle Bideford 1860' between two anchors below. At the back is a mariner's compass, sun, moon, and stars and large conventional flowering tree with birds amongst branches.",Mid 19th century|Victoria I|Production date: dated AD 1860 : dated,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77105
391,NA,"Potter: Hoyle, John Phillips",Accession number: Gl.C.74-1928|Primary reference Number: 77104|Old object number: 7|Stable URI,Lead-glazed earthenware|Slipware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, thrown, coated with white slip, with incised and cut away decoration under pale yellowish lead glaze. The jug has a bulbous body with a short neck, pinched into a lip in front, and a loop handle rolled into a coil at the lower end. On the front is a ship in full sail with the inscription 'Bucton Castle crossing the Line', above, and below, the inscription 'From Rocks & Sands/ & Every Ill/ may God Protect the Sailor/ Still/ John Phillips Hoyle/ 1857 Bideford'.",Mid 19th century|Victoria I|Production date: dated AD 1857 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77104
392,NA,Production: Unidentified Bideford potter,Accession number: GL.C.73-1928|Primary reference Number: 77103|Glaisher MS Catalogue: 3242|Stable URI,Lead-glazed earthenware|Slipware,Harvest jug|jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, covered in white slip, with incised decoration under pale yellow lead glaze. Bulbous body, short neck, pinched into a lip in front, loop handle rolled up into a coil at the lower end. On the front a compass-like device for mariners flanked by a large spray of flowers. Below the handle, in a heart-shaped panel, the inscription 'Now Harvist is Come, I'm Filld with Strong Beer, so make yourself merry and Be of good Chear, But mind that to morrow To work you must go, For if you get Drunk you'l Call me your Foe. 1806'.",Early 19th Century|George III|Production date: dated AD 1806 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77103
393,NA,Production: Donyatt Pottery,Accession number: Gl.C.72-1928|Primary reference Number: 77102|Glaisher MS Catalogue: 4109|Stable URI,Lead-glazed earthenware|Slipware,Bird feeder,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Pale red earthenware, coated with white slip, with incised decoration under pale yellow lead glaze. Back unglazed. The feeder is circular with a crinkled edge (49 crinkles), and has deep curved sides with a cup-like projection in the centre. In the hollow round the centre, there are three birds, a tulip and various formal flower motives, a heart, a bow, and the initials and date 'H.F. 1725'. On the rim is a chain pattern border.",Early 18th Century|George I|Production date: AD 1725 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77102
394,NA,Production: Unknown,Accession number: Gl.C.7-1928|Primary reference Number: 77101|Glaisher MS Catalogue: 797|Stable URI,Lead-glazed earthenware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Bulbous jug with flat base and loop handle. Red earthenware, thrown, the front coated with slip and partially covered with mottled green lead glaze. The neck is short and flares, with horizontal ridges. A small lip has pinched in to the mouth.",15th century|Circa 1400 CE - 1500 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77101
395,NA,"Potter: Burch, Phillip (Probably)",Accession number: GL.C.71-1928|Primary reference Number: 77100|Old object number: 6|Stable URI,Lead-glazed earthenware|Slipware,Harvest jug|jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, coated with white slip, and incised under lead glaze. The jug has a bulbous body, short neck pinched into a lip in front and a loop handle turned up in a coil at the lower end. On the front is a sun-face between sprays of roses and tulips with birds perched upon them, and, above, the inscription 'Humphrey Whitefield 1788 Philip Burch Maker 1788'. Below, the words 'Now I'm come for to supply Good Harvestmen when they are Dry BARUM 1788'. Below, the handle, two faces in medallions and two peacocks with a smaller bird in a rectangular panel.",Late 18th century|George III|Production date: AD 1788 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77100
396,NA,Production: Unknown,Accession number: GL.C.70-1928|Primary reference Number: 77099|Old object number: 60|Stable URI,Lead-glazed earthenware|Slipware,Mug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Buff earthenware partially covered with yellow lead glaze. The mug is cylindrical with a slightly spreading base and mouth, the lower part ribbed, grooved loop handle with thumb-impression at the lower end.",16th century|17th Century|Circa 1500 CE - 1700 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77099
397,NA,Production: Unknown (Probably),Accession number: GL.C.69-1928|Primary reference Number: 77098|Glaisher MS Catalogue: 4480|Stable URI,Lead-glazed earthenware|Slipware,Ridge tile,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, coated with white slip under mottled greenish-yellow lead-glaze, with modelled and applied decoration in high relief on the finial. Of inverted V-shaped section with at one end a finial in the form of a globe, with a crown on the top and the middle two cherubs, a griffin, and a fourth ornament (missing).",17th Century|Circa 1600 CE - 1700 CE,NA,Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/77098
398,NA,Production: Unknown (Uncertain),Accession number: GL.C.68-1928|Primary reference Number: 77097|Old object number: 49|Stable URI,Lead-glazed earthenware|Slipware,Candlestick,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated with incised decoration under lead glaze. The candlestick has a circular base, four-sided shaft with rough foliage ornament and rows of impressions from a cut stick.",19th century|Circa 1800 CE - 1900 CE,NA,Lead-glazing|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77097
399,NA,Production: Unknown,Accession number: GL.C.67 & A-1928|Primary reference Number: 77096|Old object number: 47|Stable URI,Lead-glazed earthenware|Slipware,Flower pot|Stand,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, slip-coated with impressed and incised decoration under lead glaze. The flower pot is straight-sided with a rounded lipped rim, and the stand is saucer-shaped, with same style rim. The pot is decorated with a bird and sprays of foliage below a row of impressed mulberry ornaments. The outside of the saucer is encircled with a wreath of foliage.",19th century|Circa 1800 CE - 1900 CE,NA,red Earthenware|Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/77096
400,NA,Production: Unknown,Accession number: GL.C.66-1928|Primary reference Number: 77095|Old object number: 22|Stable URI,Lead-glazed earthenware|Slipware,Puzzle jug,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, slip-coated with incised decoration under lead glaze. Bulbous body, with short neck pierced with two rows of large circular perforations. Loop handle forming a tube communicating with three sucking-spouts which project from the rim. The body is decorated with a rough symmetrical branching spray of flowers.",19th century|Circa 1800 CE - 1900 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77095
401,NA,"Potter: Brannan, James Howard (Probably)",Accession number: GL.C.65-1928|Primary reference Number: 77094|Old object number: 20|Stable URI,Lead-glazed earthenware|Slipware,Puzzle jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated with incised decoration under lead glaze. Bulbous body with loop handle which forms a tube communicating with three sucking-spouts springing from the rim. Decorated on the lower part of the jug with rough sprays of flowers. Below the handle is a heart-shaped panel with the inscription, 'Drink to mee with your Heart and fill up unto the mark then drink mee pray without spilling or you will [pay] thre shilling'. Above, is a row of geometrical piercings with the date 'nov. 13 1827' incised. The neck is pierced with perforations forming the letters of the name 'JOHN ARNOLD'.",Early 19th Century|George IV|Production date: dated AD 1827 : dated,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77094
402,NA,Production: Unknown,Accession number: GL.C.64-1928|Primary reference Number: 77093|Old object number: R.825|Stable URI,Lead-glazed earthenware|Slipware,Harvest jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated with incised decoration under lead glaze. On the front, a shield-shaped panel with the inscription 'Success to the Plough Revd D Evans'. Above, two flags with the words 'Peace' and 'Plenty'. At the sides, large branches with flowers and foliage. Below the handle, in a heart-shaped panel, the inscription 'Out of the Earth I first was dug, and to the Potter brought, and from a lump of clay was form'd as pleas'd his skilful thought, but now a servent unto you my friends to carry Beer to cheer your hearts and make you sing and Jovial Pass the year, September 9 1817'.",Early 19th Century|George III|Production date: dated AD 1817 : dated,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77093
403,NA,Production: Unknown (Probably),Accession number: GL.C.63-1928|Primary reference Number: 77092|Glaisher MS Catalogue: 3838|Stable URI,Lead-glazed earthenware|Slipware,Posset pot,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated, with incised decoration under lead glaze. Bulbous shaped pot with wide flaring mouth, and two loop handles (one broken). On one side is a thrush perched on a branch, and on the other side the name and date 'John Hoolme, July 4th 1805'.",Early 19th Century|George III|Production date: dated AD 1805,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77092
404,NA,Production: Unknown (Uncertain),Accession number: GL.C.62-1928|Primary reference Number: 77091|Glaisher MS Catalogue: 4944|Stable URI,Lead-glazed earthenware|Slipware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated, with incised decoration under lead glaze. Bulbous body, short neck pinched into a lip at the front, with loop handle. Decorated all over the body with small representations of sailing-boats and various initials and the date 1795.",Late 18th century|Production date: AD 1795 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77091
405,NA,Production: Unknown (Probably),Accession number: GL.C.6-1928|Primary reference Number: 77090|Glaisher MS Catalogue: 4701|Duplicate: GI.C.6-1928|Stable URI,Lead-glazed earthenware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, thrown, with buff surface and combed and rouletted decoration under mottled green lead glaze. Oviform body with a wide neck, the lip pinched up from the mouth. Loop handle and spreading base. Wavy bands have been scored around the neck, middle, and handle",13th Century|14th Century|Circa 1200 CE - 1400 CE,Medieval,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77090
406,NA,Production: Unknown,Accession number: Gl.C.61-1928|Primary reference Number: 77089|Glaisher MS Catalogue: 4420|Stable URI,Lead-glazed earthenware|Slipware,Harvest jug|jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated with incised decoration under lead glaze. Bulbous body, neck pinched into a lip at the front, with a loop handle. On the front a heart and crossed arrows with the words 'cupids Dart wounded my hart' and the date 1728. Below, a tulip spray between two birds; at the sides thistle and tulip sprays. Two birds above compartments enclosing the initials IS and a thistle below the handle. Round the shoulders, the following inscription: 'When you your frinds you do inuite there hearts and for to chear/O then i pray make use of me and fill me with strong beer/And when that you togather sitt yourselues for to diuert Then fill your cup and drink about a health with all your heart'.",Early 18th Century|George II|Production date: dated AD 1728,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77089
407,NA,Production: Unknown (Uncertain),Accession number: GL.C.60-1928|Primary reference Number: 77088|Stable URI,Lead-glazed earthenware|Slipware,Cistern,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, covered inside with lead glaze. Oviform, with two small loop handles flanking the wide mouth. The shoulders are decorated with applied decoration, indented with thumb-markings forming on one side the date 1724. Near the base is a bung-hole.",Early 18th Century|Production date: AD 1724,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77088
408,NA,Unknown (Uncertain),Accession number: GL.C.57-1928|Primary reference Number: 77085|Glaisher MS Catalogue: 4761|Stable URI,Lead-glazed earthenware|Slipware,Cooking-pot,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Cooking-pot. Earthenware, slip-coated with white and speckled with manganese-purple under lead glaze. Cylindrical with flanged top, two strap handles rising above it, and small projecting lip.",18th century|Circa 1700 - 1800,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77085
409,NA,Unknown (Uncertain),Accession number: GL.C.56-1928|Primary reference Number: 77083|Glaisher MS Catalogue: 2749|Stable URI,Lead-glazed earthenware|Slipware,Dish,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Dish. Earthenware, slip-coated in white and slip-trailed in dark and light red, under lead glaze. Back unglazed. The dish is saucer-shaped with a slightly out-turned rim and crinkled edge. In the middle is a large cock surrounded by the date 1784 and formal linear motives, and a chain-pattern border.",Late 18th century|Production date: AD 1784 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77083
410,NA,Potter: Unknown,Accession number: C.55-1930|Primary reference Number: 77082|Stable URI,Lead-glazed earthenware|East Anglian Redware,Jug,Method of acquisition: Given (1930) by The Friends of the Fitzwilliam Museum,"Red earthenware jug with a bulbous body. Thrown, with a flat applied pulled handle, decorated with white slip, and partially lead-glazed.",13th-14th Century|Circa 1250 CE - 1350 CE,Medieval,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77082
411,NA,Production: Unknown (Uncertain),Accession number: GL.C.55-1928|Primary reference Number: 77081|Glaisher MS Catalogue: 2672|Stable URI,Lead-glazed earthenware|Slipware,Dish,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated with white, and slip-trailed in dark red and light red under lead glaze. Back unglazed. Saucer-shaped, with crinkled edge. In the middle is a large cat, flanked by two coiled bands.",Second half of 18th century|Circa 1750 CE - 1800 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77081
412,NA,Unknown (Uncertain),Accession number: GL.C.54-1928|Primary reference Number: 77080|Glaisher MS Catalogue: 5093|Stable URI,Lead-glazed earthenware|Slipware,Cup,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Cup. Earthenware with slip-trailed decoration under lead glaze. The cup is of ogee profile, with a loop handle. It is decorated on the outside with a row of alternate serrated and narrow leaves.",18th century|Circa 1700 CE - 1750 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77080
413,NA,Unknown (Uncertain),Accession number: GL.C.53-1928|Primary reference Number: 77079|Glaisher MS Catalogue: 4464|Stable URI,Lead-glazed earthenware|Slipware,Dish,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Dish. Earthenware, slip-coated in dark red, with slip-trailed decoration in light red and white, under lead glaze. Back unglazed. Saucer shaped dish with crinkled edge. The decoration consists of a large formal rosette flanked by leaf-motives symmetrically arranged on either side of a middle stalk.",18th century|Circa 1700 CE - 1800 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77079
414,NA,Unknown (Probably),Accession number: GL.C.52-1928|Primary reference Number: 77078|Glaisher MS Catalogue: 4129|Stable URI,Lead-glazed earthenware|Slipware,Baking dish,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Baking dish. Earthenware, with slip-trailed decoration under lead glaze. Rectangular dish with rounded corners and crinkled edge. In the middle a cock surrounded by rough frond motives and the date 1860.",Mid-19th Century|Production date: AD 1860 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77078
415,NA,Production: Unknown,Accession number: GL.C.5-1928|Primary reference Number: 77077|Glaisher MS Catalogue: 5027|Duplicate: GI.C.5-1928|Stable URI,Lead-glazed earthenware,Drinking pot|jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware with horizontal reeding on the upper part, partially covered with mottled green lead glaze. The body is slightly convex, with a reeded loop handle, and a spreading base with thumb marks. The neck has a projecting ridge below the mouth.",14th Century|Circa 1300 CE - 1400 CE,Medieval,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77077
416,NA,Unknown (Perhaps),Accession number: GL.C.51-1928|Primary reference Number: 77076|Stable URI,Lead-glazed earthenware|Slipware,Posset pot,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Posset pot. Earthenware with slip-trailed decoration under lead glaze. Lower part of pot and base unglazed. Bulbous body with wide flaring mouth and four loop handles (one missing). Round the top the inscription: 'A Present for Thomas Bryan's Wife April 16th 1817'. Below, between the handles, a spray of flowers and rough interlaced or other designs.",Early 19th Century|Production date: AD 1817 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77076
417,NA,Unknown,Accession number: GL.C.50-1928|Primary reference Number: 77075|Glaisher MS Catalogue: 4661|Stable URI,Lead-glazed earthenware|Slipware,Baking dish,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Baking dish. Earthenware, moulded, the front with slip-trailed and marbled decoration under lead glaze; reverse unglazed. Rectangular dish with rounded corners and crinkled edge. Decorated in the middle with a cock walking to the left, with the date 1794 below, and a triangular arrangement of dots above.",Late 18th century|Production date: AD 1794 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77075
418,NA,Unknown (Possibly),Accession number: GL.C.49-1928|Primary reference Number: 77074|Glaisher MS Catalogue: 4889|Stable URI,Lead-glazed earthenware|Slipware,Baking dish,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Baking dish. Earthenware, moulded, the front with trailed-slip decoration under a lead glaze; reverse unglazed. Rectangular with rounded corners and crinkled edge. In the middle is a horse saddled and harnessed walking to the left with the date '1787' above. His body is decorated with feather combing. In front of him and behind him there is a vertical wavy line, and behind him a more open wavy line.",Late 18th century|Production date: AD 1787 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77074
419,NA,Unknown (Probably),Accession number: Gl.C.48-1928|Primary reference Number: 77073|Glaisher MS Catalogue: 4850|Stable URI,Lead-glazed earthenware|Slipware,Dish,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Dish. Earthenware, the front with slip-trailed and partly marbled slip decoration, under lead glaze; the reverse unglazed. Circular with a deep well, slanting rim and crinkled edge. In the middle is a large formal rose with long sepals surrounded by tulips alternating with buds. The petals of the flowers are marbled. The rim is decorated to imitate a row of petals with pointed sepals between.",18th century|Circa 1700 CE - 1800 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77073
420,NA,"Pottery: Sibley's Pottery|Potter: Sibley, Robert",Accession number: GL.C.47-1928|Primary reference Number: 77072|Old object number: 4879|Stable URI,Lead-glazed earthenware,Barrel (container),"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, with incised decoration under greenish-yellow lead glaze. Barrel-shaped with a depression in the top. Decorated with impressions of cords and incised ornament consisting of a pheon, a cross and the words 'HIS MAJESTY'S BARREL 1861'.",Mid-19th Century|Victoria I|Production date: AD 1861 : dated,NA,reddish-brown Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77072
421,NA,"Pottery: Lucas's Pottery|Potter: Lucas, Mary",Accession number: GL.C.46-1928|Primary reference Number: 77070|Old object number: 4880|Stable URI,Lead-glazed earthenware|Slipware,Jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, the front smeared with white clay with incised and impressed decoration under yellow lead glaze flecked with dark brown. Pear-shaped body with reeding round the middle. Wide neck pinched into a lip in front, and a loop handle with longitudianal ridge, and three thumb impressions at the base. Incised on the front is the name and date 'Henry Paton (?) Ely July (?) 18 1836'. Impressed, to the right, is the mark 'M LUCAS ELY'.",19th century|William IV|Production date: AD 1836 : dated,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77070
422,NA,Pottery: Lucas's Pottery,Accession number: GL.C.45-1928|Primary reference Number: 77069|Old object number: 3397|Stable URI,Lead-glazed earthenware,Jug|Slipware,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware, with incised and inlaid decoration in white slip under pale yellow lead-glaze. Bulbous with flattened sides, small cylindrical neck and reeded loop handle. On one side is a rough, side profile of a head, and on the other, the initials and date 'J+L/1796 in a rounded panel with flat lower edge.",Late 18th century|George III|Production date: dated AD 1796,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/77069
